pmm,smm,vmm,exclude,deceased,first_name,nick_name,last_name,organization_name,total_donations,total_pledge,largest_gift,largest_gift_appeal,first_gift_date,last_gift_date,last_gift_amount,last_gift_request,last_gift_appeal,address_line1,address_line2,city,contact_phone_type,phone_restrictions,email_restrictions,communication_restrictions,subscription_events_in_person,subscription_events_magazine,communication_preference,__ml_lable,__ml_total_invitations,__ml_total_attendance,__ml_last_invitation_attendance,__ml_invitation_acceptance_rate,__ml_total_donations,__ml_largest_gift,__ml_last_gift_amount
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Chao,Champ,Smith,,497092,108071,10002,Appeal1,1641621335,765086318,264636,1708563033,Appeal3,303 Elm Drive,Apt 222,Richmond,Work,No Surveys,No Surveys,,Opt-in,Opt-in,Inspiration event,0,10,9,0,0.9,30525,15409,6214
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Ahmed,Babe,Smirnov,,0,572176,0,Appeal2,0,0,0,1730139016,Appeal1,1010 Redwoodwood Circle,,Vancouver,Work,No Mass Appeals,No Mass Communications,No Surveys,Opt-out,Opt-out,Event,0,1,0,0,0.0,41165,22090,18087
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Carlos,,Nguyen,Goofy Gadgets,651210,2927,18853,Appeal1,1726752040,1127649033,9873,1737907418,Appeal2,999 Alder Terrace,Apt 505,Williams Lake,Home,No Mass Appeals,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Magazine,0,5,4,0,0.8,23427,5778,5426
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Amina,Buddy,García,,0,501633,0,Appeal2,0,0,0,1718970440,Appeal2,676 Elmwood Court,,Maple Ridge,Mobile,No Surveys,Do Not Email,No Mass Appeals,Opt-out,Opt-in,Event,1,7,5,1,0.7142857142857143,46297,21587,8396
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Jane,Peach,Nguyen,Prankster Partners,545330,732692,78232,Appeal2,1586160572,950600601,18391,1711636767,Appeal2,898 Willowwood Road,,Surrey,Work,Do Not Call,No Mass Appeals,,Opt-in,Opt-in,Thank you,1,10,7,1,0.7,41730,27893,15659
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Dimitri,Dear,Cohen,,0,501695,0,Appeal3,0,0,0,1711251368,Appeal1,1717 Hickorywood Court,,Coquitlam,Home,No Mass Appeals,,No Surveys,Opt-out,Opt-in,Survey,0,7,3,1,0.42857142857142855,30082,10622,4610
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Amina,,김,Acme Anvils Inc.,0,386606,0,Appeal1,0,0,0,1710480477,Appeal3,121 Maplewood Place,Unit 898,Saanich,Home,,No Surveys,No Mass Communications,Opt-out,Opt-in,Newsletter,0,0,0,0,0.0,55450,35177,16259
Gurtrude Schmidt,John Doe,Sven Müller,no,no,John,,Chen,,504726,598860,38755,Appeal3,1722341209,1426417972,138035,1724085891,Appeal1,789 Pine Lane,Apt 505,Saanich,Home,Do Not Call,No Mass Communications,No Surveys,Opt-in,Opt-in,Magazine,1,10,8,1,0.8,43545,3615,2420
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Priya,Sunshine,Иванов,,586001,304663,363105,Appeal3,1587319136,176207200,94527,1712182146,Appeal1,454 Birchwood Lane,Apt 565,Langley,Home,No Mass Communications,No Mass Appeals,No Surveys,Opt-in,Opt-in,Thank you,1,8,4,1,0.5,33454,29100,6281
Peter Smith,John Doe,Chao Nguyen,yes,no,Ahmed,,García,,845324,77873,788092,Appeal1,1609465791,906426334,186237,1710360772,Appeal3,808 Cypress Place,,Parksville,Home,No Mass Communications,No Surveys,Do Not Email,Opt-in,Opt-in,Magazine,1,0,0,0,0.0,86891,16678,9587
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Jane,Cutie,Иванов,,753381,728680,263232,Appeal1,1583087233,939067047,26074,1724924858,Appeal1,909 Fir Street,Unit 606,Vancouver,Home,No Mass Communications,,No Mass Communications,Opt-in,Opt-out,,1,13,11,0,0.8461538461538461,65983,49113,39026
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Ahmed,,Hernández,,0,0,0,Appeal2,0,0,0,1728252478,Appeal3,1212 Firwood Place,Apt 222,West Vancouver,Mobile,No Surveys,No Surveys,No Surveys,Opt-in,Opt-out,Thank you,0,12,10,1,0.8333333333333334,32361,20070,18287
Parvati Patel,Alice Smith,Priya Gupta,no,no,Sven,,Smith,Hilarity Holdings,333190,495461,73576,Appeal1,1636679340,1299442669,152994,1713585439,Appeal3,1717 Hickorywood Court,,Coquitlam,Mobile,No Surveys,No Mass Appeals,No Mass Communications,Opt-out,Opt-in,Newsletter,1,2,1,1,0.5,99298,63617,53352
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Dimitri,Pumpkin,Silva,,88117,54157,43140,Appeal2,1617061990,211538922,64850,1716747758,Appeal2,707 Redwood Terrace,Apt 565,West Vancouver,Mobile,No Surveys,,Do Not Email,Opt-in,Opt-in,Holiday Card,0,7,4,1,0.5714285714285714,76646,47703,18657
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Peter,Love,Öztürk,,0,115124,0,Appeal1,0,0,0,1723176117,Appeal2,1515 Magnoliawood Lane,Apt 565,Maple Ridge,Home,Do Not Call,,,Opt-in,Opt-in,,1,16,16,1,1.0,87748,76265,71782
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Sven,,López,Chuckles & Co.,0,231854,0,Appeal3,0,0,0,1725187187,Appeal1,707 Redwood Terrace,Unit 404,Port Coquitlam,Home,No Surveys,No Surveys,Do Not Email,Opt-in,Opt-in,Magazine,1,8,5,1,0.625,22955,395,179
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Chao,,Silva,,0,957858,0,Appeal3,0,0,0,1722113594,Appeal1,202 Cedar Court,Unit 606,Burnaby,Work,No Surveys,No Mass Appeals,No Mass Appeals,Opt-out,Opt-out,,1,4,4,1,1.0,10524,5983,2234
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Sergei,,佐藤,,244874,0,166954,Appeal2,1685663123,1274563911,780,1723744311,Appeal1,555 Hickory Drive,Unit 555,Vancouver,Home,,No Surveys,No Surveys,Opt-in,Opt-out,Research update,1,13,12,1,0.9230769230769231,32891,530,333
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Bob,,Smith,Jokester Junction,0,999426,0,Appeal3,0,0,0,1709141842,Appeal2,777 Laurel Way,Apt 787,Kelowna,Home,No Mass Communications,,No Mass Communications,Opt-in,Opt-out,Inspiration event,1,12,8,1,0.6666666666666666,38980,28151,6266
Peter Smith,John Doe,Sven Müller,yes,no,Sergei,,Cohen,,0,0,0,Appeal2,0,0,0,1728700990,Appeal3,1717 Hickorywood Court,Apt 888,Nanaimo,Mobile,,No Mass Communications,No Surveys,Opt-out,Opt-in,,1,6,4,0,0.6666666666666666,22532,10792,4110
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Maria,,Kumar,,0,222503,0,Appeal1,0,0,0,1726563588,Appeal3,123 Maple Street,Unit 898,Langley,Home,Do Not Call,No Surveys,,Opt-in,Opt-in,Inspiration event,1,6,4,0,0.6666666666666666,78779,36248,9715
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Juan,,Öztürk,,961266,332246,414682,Appeal2,1660454914,1202172712,236420,1708707080,Appeal2,1111 Cypresswood Terrace,Unit 454,Williams Lake,Work,,No Surveys,No Mass Appeals,Opt-out,Opt-in,Holiday Card,1,3,1,0,0.3333333333333333,93387,90201,16069
Parvati Patel,Bob Brown,Priya Gupta,no,no,Leila,,Chen,Whatchamacallit Corp.,663396,594495,58032,Appeal2,1685551369,406713919,197078,1712589420,Appeal2,444 Dogwood Court,,North Vancouver,Home,Do Not Call,,No Surveys,Opt-out,Opt-in,Research update,0,1,0,0,0.0,35580,27479,27029
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Mei,,Иванов,,444724,47979,280511,Appeal3,1594073696,1262364766,223645,1709343487,Appeal1,303 Elm Drive,Unit 111,West Vancouver,Work,No Surveys,No Mass Appeals,No Mass Communications,Opt-in,Opt-out,Newsletter,1,6,3,1,0.5,50347,13083,3659
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Sergei,Peach,Öztürk,,0,47303,0,Appeal2,0,0,0,1737770122,Appeal2,1919 Laurelwood Road,,Prince George,Home,No Surveys,No Surveys,No Mass Appeals,Opt-in,Opt-in,Holiday Card,1,4,3,1,0.75,95681,67204,19741
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Zainab,,Jones,Whimsy Works,0,661913,0,Appeal1,0,0,0,1736767583,Appeal3,787 Sprucewood Drive,,Maple Ridge,Work,Do Not Call,No Surveys,No Surveys,Opt-out,Opt-out,Newsletter,1,8,4,1,0.5,47791,39953,29123
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Alice,Love,佐藤,,0,547504,0,Appeal3,0,0,0,1713641957,Appeal3,222 Sycamore Lane,Apt 909,Vernon,Home,No Mass Communications,No Mass Communications,No Surveys,Opt-out,Opt-out,Event,1,3,1,1,0.3333333333333333,83721,74147,37901
Peter Smith,John Doe,Sven Müller,no,no,John,,Singh,,715187,301542,617768,Appeal2,1633072413,1310882509,77961,1736680001,Appeal2,777 Laurel Way,Unit 333,Courtenay,Home,Do Not Call,No Surveys,No Mass Appeals,Opt-out,Opt-out,Thank you,1,10,8,1,0.8,99209,1163,268
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Dimitri,,王,,0,562124,0,Appeal1,0,0,0,1727532663,Appeal3,202 Cedar Court,Apt 343,White Rock,Home,No Mass Communications,No Surveys,,Opt-out,Opt-out,,1,15,15,1,1.0,61671,57985,15329
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Priya,,López,,0,757610,0,Appeal1,0,0,0,1716629891,Appeal3,676 Elmwood Court,Unit 999,Prince George,Work,,,Do Not Email,Opt-out,Opt-out,Appeal,0,11,9,0,0.8181818181818182,1430,1090,476
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Peter,,Brown,,0,0,0,Appeal1,0,0,0,1723133906,Appeal1,111 Poplar Avenue,Unit 202,Vancouver,Home,No Mass Communications,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Research update,0,7,7,1,1.0,97712,513,386
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Mei,,Hernández,,402008,416697,272734,Appeal3,1700213059,82117667,137484,1708912002,Appeal2,606 Aspen Circle,,Campbell River,Mobile,No Mass Appeals,No Surveys,No Mass Appeals,Opt-in,Opt-in,Thank you,1,11,10,1,0.9090909090909091,36539,12023,7748
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Peter,,López,,627077,130227,212976,Appeal1,1639095203,233431110,124551,1708681046,Appeal2,999 Alder Terrace,,Kelowna,Mobile,No Mass Appeals,No Surveys,Do Not Email,Opt-out,Opt-in,Thank you,1,14,14,0,1.0,63542,42935,39324
Parvati Patel,Alice Smith,Priya Gupta,no,no,Carlos,,Nguyen,,142255,909422,140812,Appeal3,1592101984,1621606062,24227,1723196455,Appeal1,456 Oak Avenue,Apt 121,Port Coquitlam,Mobile,,No Mass Appeals,,Opt-out,Opt-in,Research update,0,11,8,1,0.7272727272727273,39582,35212,9812
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Fatima,,Chen,,326850,806544,317022,Appeal2,1583022790,926057997,129968,1730762265,Appeal3,909 Fir Street,Apt 343,Vancouver,Work,No Surveys,Do Not Email,No Mass Appeals,Opt-out,Opt-in,Magazine,1,3,2,1,0.6666666666666666,79023,73112,49255
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Jane,,Williams,,0,576553,0,Appeal1,0,0,0,1724654485,Appeal1,666 Juniper Road,,Prince George,Work,No Mass Appeals,No Surveys,Do Not Email,Opt-out,Opt-in,Magazine,1,13,13,1,1.0,92139,48254,48189
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Juan,,González,Jester Jamboree,0,0,0,Appeal1,0,0,0,1716391407,Appeal2,222 Sycamore Lane,Unit 898,Abbotsford,Home,,No Surveys,No Surveys,Opt-in,Opt-out,Inspiration event,1,5,3,0,0.6,87261,14889,6517
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Mei,Buttercup,김,,867477,34093,623897,Appeal2,1682565172,1341220359,199315,1709645776,Appeal1,111 Poplar Avenue,Apt 888,Richmond,Home,No Mass Appeals,No Surveys,No Surveys,Opt-out,Opt-in,Newsletter,0,1,0,0,0.0,28770,25666,8311
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Peter,Sweetie,García,,89922,311885,89217,Appeal2,1724163710,317659077,22245,1734771975,Appeal1,1010 Redwoodwood Circle,Unit 999,Langley,Home,Do Not Call,No Mass Communications,Do Not Email,Opt-out,Opt-in,Research update,1,2,1,0,0.5,34145,24608,8476
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Ingrid,,Brown,Snicker Supplies,748633,266430,322477,Appeal3,1687695871,330652805,285948,1714976930,Appeal1,666 Juniper Road,,Salmon Arm,Work,No Mass Communications,No Mass Appeals,,Opt-out,Opt-in,Newsletter,1,2,0,0,0.0,60866,43189,4787
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Ingrid,,Müller,,630432,921262,436184,Appeal3,1648956847,243150522,236865,1720543299,Appeal2,1010 Redwoodwood Circle,,New Westminster,Mobile,No Surveys,Do Not Email,No Mass Communications,Opt-in,Opt-out,Appeal,1,5,5,0,1.0,16128,9409,6390
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Ahmed,Honey,Singh,,0,747590,0,Appeal2,0,0,0,1729232387,Appeal3,1616 Dogwoodwood Boulevard,Apt 121,Delta,Home,No Mass Appeals,Do Not Email,,Opt-in,Opt-in,Magazine,1,15,15,0,1.0,65194,46379,6679
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Fatima,,王,,665940,783634,215555,Appeal1,1658219987,410627947,264929,1718118702,Appeal2,1919 Laurelwood Road,,Burnaby,Mobile,No Mass Appeals,Do Not Email,Do Not Email,Opt-out,Opt-out,,0,11,10,1,0.9090909090909091,20778,5467,1238
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Ahmed,,Smirnov,,0,154248,0,Appeal2,0,0,0,1734733013,Appeal1,343 Pinewood Avenue,Unit 232,Burnaby,Mobile,,,No Mass Communications,Opt-out,Opt-in,Thank you,1,8,6,1,0.75,53036,52681,12191
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Bob,Babe,Jones,,518570,786692,486370,Appeal2,1668713020,1294541412,284590,1713740699,Appeal3,222 Sycamore Lane,Apt 121,New Westminster,Mobile,No Mass Communications,No Mass Appeals,No Surveys,Opt-out,Opt-out,Event,0,13,13,0,1.0,37647,3444,1527
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Ingrid,Angel,Hernández,,0,0,0,Appeal3,0,0,0,1731070307,Appeal2,303 Elm Drive,,Abbotsford,Work,No Mass Communications,Do Not Email,No Mass Communications,Opt-out,Opt-out,Inspiration event,1,0,0,0,0.0,56778,27763,3163
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Ahmed,Dear,Smirnov,,921453,338149,398851,Appeal2,1624581183,294788134,120621,1738640926,Appeal2,1818 Juniperwood Drive,Unit 111,Burnaby,Mobile,Do Not Call,,No Mass Communications,Opt-in,Opt-out,Appeal,1,12,11,1,0.9166666666666666,68618,10206,7337
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,John,,王,,688876,899216,566931,Appeal3,1603037158,1724866888,153,1720506213,Appeal3,123 Maple Street,Unit 333,Vancouver,Home,No Mass Appeals,No Surveys,,Opt-out,Opt-out,,1,1,0,0,0.0,8674,7551,3515
Parvati Patel,Alice Smith,Priya Gupta,no,no,Hiroshi,Cutie,Smirnov,,0,419085,0,Appeal2,0,0,0,1730099498,Appeal1,1212 Firwood Place,Unit 404,Burnaby,Mobile,No Mass Communications,No Mass Appeals,No Mass Appeals,Opt-out,Opt-in,Newsletter,1,5,3,1,0.6,15327,1029,827
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Ingrid,Honey,García,,163093,825769,72779,Appeal2,1717699379,91365608,55468,1729748228,Appeal1,1919 Laurelwood Road,,Richmond,Work,Do Not Call,No Mass Appeals,No Mass Communications,Opt-out,Opt-out,Appeal,0,3,1,0,0.3333333333333333,77476,4112,4068
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Olga,,王,,538858,53971,451341,Appeal3,1726272307,1253876546,275648,1725089054,Appeal2,606 Aspen Circle,,Kamloops,Home,Do Not Call,Do Not Email,No Mass Appeals,Opt-out,Opt-in,,0,1,1,1,1.0,2897,2267,1410
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Dimitri,Angel,佐藤,Silly Solutions,544621,854976,348479,Appeal1,1686942390,1737542859,7177,1725078539,Appeal1,404 Spruce Road,,Langley,Home,No Surveys,No Mass Appeals,Do Not Email,Opt-out,Opt-out,Inspiration event,1,10,5,1,0.5,23728,7033,3946
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Rajesh,,Nakamura,,0,352443,0,Appeal2,0,0,0,1722152009,Appeal3,888 Sequoia Circle,Unit 333,Surrey,Home,No Surveys,Do Not Email,No Mass Appeals,Opt-in,Opt-out,Event,1,11,9,1,0.8181818181818182,39992,37656,36541
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Rajesh,,Silva,,430625,554643,218131,Appeal1,1673309605,790445778,44618,1738341171,Appeal3,666 Juniper Road,Apt 505,West Vancouver,Work,No Surveys,No Mass Communications,Do Not Email,Opt-in,Opt-out,Inspiration event,0,11,10,0,0.9090909090909091,20168,12381,1094
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Hiroshi,Doll,Öztürk,,0,547645,0,Appeal3,0,0,0,1723499849,Appeal2,1515 Magnoliawood Lane,Unit 111,Maple Ridge,Work,No Surveys,No Mass Communications,No Mass Communications,Opt-out,Opt-in,,1,1,0,0,0.0,30206,14174,5205
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Maria,Dear,Brown,Goofy Gadgets,0,0,0,Appeal3,0,0,0,1738051806,Appeal1,1414 Sycamorewood Avenue,Unit 232,Coquitlam,Work,No Mass Appeals,No Surveys,No Mass Communications,Opt-in,Opt-in,Research update,0,16,16,0,1.0,65106,9292,3114
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Leila,,Jones,Laughing Labs,0,0,0,Appeal3,0,0,0,1730961801,Appeal1,333 Magnolia Boulevard,,West Vancouver,Work,Do Not Call,No Mass Communications,No Mass Appeals,Opt-out,Opt-in,,1,13,13,1,1.0,79636,12940,11492
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Chao,,Lee,,0,961658,0,Appeal3,0,0,0,1737763115,Appeal2,121 Maplewood Place,Unit 808,Delta,Mobile,No Mass Appeals,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Magazine,1,4,1,1,0.25,77779,52135,30447
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Carlos,Peach,Nakamura,,0,664871,0,Appeal1,0,0,0,1735101097,Appeal3,999 Alder Terrace,Apt 909,Richmond,Mobile,No Mass Communications,No Mass Communications,,Opt-in,Opt-out,Research update,1,1,0,0,0.0,53701,6415,4084
Peter Smith,John Doe,Chao Nguyen,yes,no,Dimitri,,Cohen,,0,0,0,Appeal1,0,0,0,1722441043,Appeal1,909 Fir Street,Unit 232,Courtenay,Work,Do Not Call,No Surveys,No Mass Appeals,Opt-in,Opt-in,Newsletter,0,2,1,1,0.5,7798,6474,6231
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Sven,,Brown,,999978,0,304859,Appeal2,1622677969,1452075315,189870,1718112918,Appeal3,111 Poplar Avenue,Unit 999,Vernon,Home,No Mass Communications,No Surveys,,Opt-in,Opt-in,Event,1,7,4,1,0.5714285714285714,76973,24574,8217
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Hassan,Precious,김,,153695,552944,103048,Appeal1,1643643937,901306474,72360,1735059891,Appeal3,777 Laurel Way,Apt 707,Courtenay,Mobile,Do Not Call,,Do Not Email,Opt-out,Opt-in,Newsletter,0,13,13,1,1.0,11228,2638,109
Parvati Patel,Bob Brown,Priya Gupta,no,no,John,,García,Prankster Partners,120585,298801,14080,Appeal3,1612567530,1455829737,99067,1735294647,Appeal3,909 Aspenwood Way,,Richmond,Work,,,No Mass Communications,Opt-in,Opt-out,Research update,1,10,9,0,0.9,78078,31393,12532
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Fatima,,Ahmed,Mirthful Manufacturing,0,751959,0,Appeal2,0,0,0,1717858020,Appeal2,121 Maplewood Place,Apt 787,Delta,Home,Do Not Call,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Newsletter,1,12,12,1,1.0,19699,3471,2001
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Ingrid,,佐藤,Goofy Gadgets,23462,787499,5128,Appeal1,1629990989,1069713992,2066,1731617334,Appeal1,909 Aspenwood Way,,Parksville,Mobile,,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Appeal,0,1,0,0,0.0,20987,11648,3419
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Leila,,Williams,,0,179672,0,Appeal2,0,0,0,1736216156,Appeal1,1717 Hickorywood Court,Apt 505,North Vancouver,Work,Do Not Call,No Surveys,Do Not Email,Opt-in,Opt-out,Appeal,1,9,8,0,0.8888888888888888,76660,70067,43434
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Fatima,,Gupta,,0,899126,0,Appeal1,0,0,0,1717186370,Appeal2,606 Aspen Circle,,White Rock,Work,Do Not Call,No Mass Communications,No Surveys,Opt-out,Opt-in,Survey,1,10,8,1,0.8,62649,44343,16734
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Juan,,Nguyen,Hilarity Holdings,978713,599722,179688,Appeal1,1736344107,826673821,25380,1724432236,Appeal1,787 Sprucewood Drive,Unit 333,Maple Ridge,Work,Do Not Call,No Mass Appeals,No Mass Communications,Opt-out,Opt-in,,1,4,1,1,0.25,39521,30773,23301
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Hiroshi,,佐藤,,0,0,0,Appeal3,0,0,0,1718033906,Appeal2,404 Spruce Road,Apt 909,Maple Ridge,Home,Do Not Call,No Surveys,No Surveys,Opt-out,Opt-out,Holiday Card,1,15,15,1,1.0,28353,24806,8570
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Carlos,,Williams,,292859,256505,168203,Appeal2,1714177096,623793630,5411,1719709659,Appeal1,123 Maple Street,Unit 404,Langley,Work,No Mass Appeals,Do Not Email,Do Not Email,Opt-in,Opt-out,Magazine,0,12,11,1,0.9166666666666666,522,312,210
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Carlos,,González,,809066,326303,476969,Appeal1,1588415887,1416389318,330982,1731535703,Appeal2,787 Sprucewood Drive,Apt 343,North Vancouver,Mobile,,No Mass Appeals,,Opt-out,Opt-out,Newsletter,0,8,4,0,0.5,34531,10456,438
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Juan,,Chen,,0,511771,0,Appeal1,0,0,0,1721548685,Appeal2,454 Birchwood Lane,,Williams Lake,Work,No Mass Communications,,No Mass Communications,Opt-in,Opt-out,Newsletter,0,13,12,1,0.9230769230769231,41226,10241,10111
Parvati Patel,Alice Smith,Priya Gupta,no,no,Alice,,Chen,,922048,572684,330442,Appeal3,1630425653,677871311,12358,1713615331,Appeal1,111 Poplar Avenue,Apt 444,White Rock,Home,,No Surveys,Do Not Email,Opt-out,Opt-in,Holiday Card,1,5,3,0,0.6,84320,83310,67356
Peter Smith,John Doe,Chao Nguyen,yes,no,Carlos,,Silva,,280920,280580,241206,Appeal3,1714330616,1531513930,35346,1738206447,Appeal2,1313 Poplarwood Street,Apt 565,Saanich,Home,No Surveys,Do Not Email,No Surveys,Opt-in,Opt-out,Appeal,1,1,1,1,1.0,80626,33979,592
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Olga,,Gupta,,696933,0,6010,Appeal2,1724246748,648625234,71975,1709385335,Appeal2,333 Magnolia Boulevard,,Maple Ridge,Home,No Mass Appeals,No Surveys,No Mass Appeals,Opt-out,Opt-in,Survey,1,13,12,0,0.9230769230769231,58289,21681,19377
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Zainab,,Jones,,0,340393,0,Appeal2,0,0,0,1717301638,Appeal3,909 Aspenwood Way,Unit 606,Williams Lake,Home,,Do Not Email,,Opt-in,Opt-out,Magazine,1,8,4,1,0.5,79407,28803,9616
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Maria,,López,,0,0,0,Appeal2,0,0,0,1735590312,Appeal3,707 Redwood Terrace,Unit 454,Richmond,Mobile,Do Not Call,Do Not Email,,Opt-out,Opt-out,Thank you,0,3,1,1,0.3333333333333333,54400,21369,5707
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Carlos,,Kim,,606437,0,222732,Appeal1,1718821457,613777835,323891,1718155959,Appeal1,898 Willowwood Road,Unit 777,Kelowna,Home,No Mass Communications,No Mass Appeals,No Mass Appeals,Opt-in,Opt-in,Holiday Card,1,15,15,1,1.0,66684,28001,2231
Gurtrude Schmidt,Jane Doe,Chao Nguyen,yes,no,Yuki,Precious,Smith,,685813,0,275391,Appeal1,1591268594,1164625353,34740,1731527129,Appeal1,121 Maplewood Place,Apt 101,Victoria,Mobile,No Mass Communications,No Mass Communications,No Surveys,Opt-in,Opt-out,Holiday Card,1,2,1,1,0.5,42929,9081,9019
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Sven,Cutie,Hernández,,0,342619,0,Appeal2,0,0,0,1725820956,Appeal1,898 Willowwood Road,Unit 999,Vernon,Work,No Mass Communications,Do Not Email,Do Not Email,Opt-out,Opt-in,Inspiration event,0,15,15,0,1.0,52211,24183,13820
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Sven,Honey,佐藤,,0,884867,0,Appeal3,0,0,0,1717106097,Appeal3,232 Oakwood Street,,New Westminster,Mobile,,Do Not Email,,Opt-in,Opt-in,Newsletter,0,0,0,0,0.0,49020,18882,7608
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Hassan,,Singh,,0,439743,0,Appeal1,0,0,0,1713623143,Appeal1,222 Sycamore Lane,Apt 888,Delta,Mobile,No Mass Appeals,No Surveys,No Surveys,Opt-out,Opt-out,,0,5,5,1,1.0,1025,740,657
Peter Smith,Jane Doe,Sven Müller,no,no,Alice,,Nakamura,,0,678435,0,Appeal1,0,0,0,1734704007,Appeal3,707 Redwood Terrace,Apt 303,Campbell River,Mobile,No Mass Appeals,Do Not Email,Do Not Email,Opt-in,Opt-out,Magazine,1,8,5,1,0.625,94880,13435,10738
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Mei,Sweetie,Williams,,0,615362,0,Appeal2,0,0,0,1728551661,Appeal2,333 Magnolia Boulevard,Apt 909,New Westminster,Home,Do Not Call,No Mass Appeals,No Surveys,Opt-out,Opt-out,Magazine,1,2,1,1,0.5,38626,14981,1330
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Sven,,Smith,Silly Solutions,0,985110,0,Appeal2,0,0,0,1713511548,Appeal3,1919 Laurelwood Road,,North Vancouver,Work,No Mass Communications,No Surveys,No Mass Communications,Opt-in,Opt-out,Survey,1,3,3,0,1.0,67515,42297,7739
